id,AIFM1,BCLAF1,BDP1,CENPH (64946),CENPI (2491),CTPS1 (1503),FAM50A (9130),FDPS (2224),GAGE2A (729447),GEMIN8 (54960),GJA3 (2700),KDM2A (22992),KIF4A (24137),KLC2 (64837),LAS1L (81887),MBTPS2 (51360),MED12 (9968),MED14 (9282),POLA1 (5422),PSMC1 (5700),RBMX2 (51634),RPL39 (6170),SGF29 (112869),SIN3A (25942),SNAP23 (8773),STIL (6491),TEX10 (54881),TGS1 (96764)
ACH-001380,-1.00481052,-0.684818892,-0.66267271,-0.962234012,-0.740838667,-0.828302086,-0.513672853,-0.496549805,-0.852402222,-0.93075976,-0.838945002,-0.828032336,-0.827032222,-0.653603641,-0.749362785,-0.603842694,0.132423497,-0.957840534,-1.104440979,-0.993057494,-0.724263404,-0.52263082,-0.287961852,-0.844037049,-0.267599994,-0.876697093,-0.706566721,-0.774590338
ACH-001390,-0.839787999,-0.347118554,-0.925765831,-0.783445375,-0.744168311,-1.052587033,-0.582345076,-0.941159732,-0.860303396,-1.029381404,-0.603161344,-0.76751041,-0.72399479,-0.667433381,-0.954022802,-1.117742193,-0.719403319,-0.804195662,-1.279133961,-0.752318995,-0.615655307,-1.053416994,-0.848161768,-0.5997482,-1.427212564,-0.853598294,-0.910482793,-0.84600051
ACH-001391,-0.599671662,-0.701964516,-0.618535574,-0.437102444,-0.907296517,-0.81853611,-1.3296956,-0.712058878,-0.849037465,-0.153455168,-1.067489626,-0.711934342,-0.518650121,-0.817789655,-0.856923163,-0.752333739,-0.980930174,-1.49682529,-1.077949807,-0.977740122,-1.078095617,-1.094314458,-0.830895038,-1.243869571,-1.3393504,-0.67405355,-0.899216993,-0.640915629
ACH-001407,-0.652925483,-0.767966114,-0.965003452,-0.472124797,-0.420077674,-1.251712053,-1.366381488,-0.665359171,-0.795385776,-0.876051269,-0.793883394,-0.780425378,-0.638635455,-0.687593315,-1.113929691,-1.06608367,-1.20385939,-0.955114611,-0.833225649,-0.713258919,-1.064720696,-0.622350091,-1.180095979,-0.847176998,-1.421249548,-0.611918167,-0.484085013,-0.752769557
ACH-001408,-1.116978758,-0.85344694,-0.896729144,-1.029488334,-0.807062713,-0.682071148,-0.426016927,-1.216205701,-0.738162783,-0.951966903,-0.786836405,-0.935337056,-1.029652549,-0.727712857,-1.107066249,-1.013117843,-0.966540239,-1.00674421,-0.898890946,-0.632306654,-0.766025572,-0.66548748,-0.631649401,-0.871819809,-0.874691364,-0.911734195,-0.811694266,-1.190444751
ACH-001409,-0.776397318,-0.516060444,-1.019726117,-1.074612397,-0.254510023,-0.843293041,-0.653753645,-1.152366814,-0.803363914,-0.452060237,-0.755560106,-0.711548528,-0.701836928,-0.971371132,-1.185472577,-1.21954165,-1.203425661,-0.617579412,-0.965698485,-0.695946896,-0.868294782,-0.743026522,-0.410552191,-0.91274044,-1.071572523,-0.622977034,-0.779954492,-0.819430627
ACH-001412,-0.238896603,-0.742291305,-0.841415637,-0.964338472,-0.856964564,-0.876303356,-0.840333582,-0.992931792,-0.677450644,-1.269830054,-0.824002816,-0.998009079,-0.72329992,-0.901640508,-0.714149311,-0.939510835,-0.645142056,-0.974965258,-0.64820497,-0.741545094,-0.762331154,-0.69669819,-0.431903035,-0.957590312,-1.272236981,-0.348115412,-0.772108276,-1.063863413
ACH-001413,-0.86222331,-0.761454957,-0.901274414,-0.910017178,-0.657149895,-0.405689553,-0.732476525,-0.752155336,-0.739257049,-1.008810166,-0.622347354,-0.554563114,-0.467740548,-0.948580086,-0.780730738,-0.704086619,-0.605598208,-0.739798509,-1.369520592,-0.663700645,-0.968893193,-0.807407304,-0.445040145,-0.715522345,-0.560351845,-0.586514231,-0.979455989,-0.61661697
ACH-001414,-1.376340237,-0.769488443,-0.862842281,-0.916459481,-0.674430781,-0.345355385,-1.168449544,-0.743692982,-0.699239196,-0.751519109,-1.021121992,-1.211563904,-0.738849268,-0.673544684,-1.081650737,-0.936722191,-0.769619867,-1.103494161,-0.907126898,-0.747458779,-0.963567619,-0.911916347,-0.926934962,-0.850895334,-1.148931547,-0.718272873,-0.802738945,-0.618165203
ACH-001415,-0.6234974,-0.718548959,-0.675823283,-0.668614532,-0.228180579,-0.837492397,-1.51369136,-1.143034656,-0.734230744,-0.642507157,-0.921691623,-0.374485182,-0.477336957,-0.655908421,-0.785941209,-0.781835993,-1.07016819,-0.962382968,-1.351780828,-1.23901444,-0.677524871,-0.888587573,-0.954781291,-0.945239715,-2.165499372,-0.478535701,-0.444025947,-1.382717214
ACH-001430,-0.911101524,-0.529263144,-0.718591959,-0.717676023,-0.549079382,-0.680276402,-0.137781583,-0.683998132,-0.521241219,-1.07818101,-0.98563933,-0.602837672,-0.626017616,-0.876851402,-0.58638762,-1.440302234,-0.714457091,-1.095248768,-1.11192565,-1.044901366,-1.018304203,-0.795192943,-0.185364683,-0.581147445,-0.929444803,-0.569510961,-0.883293008,-0.708671146
ACH-001431,-0.638277776,-0.640067249,-0.546671668,-0.806982719,-0.773036789,-0.842027223,-0.204985988,-0.988190618,-0.663704784,-0.693425841,-0.994372548,-0.817703458,-0.456819221,-0.7904548,-1.106779641,-0.704920242,-0.82989848,-1.078439957,-0.902488725,-0.632720866,-0.648465278,-0.853596027,-0.805531677,-0.674006262,-0.153325037,-0.685283942,-0.809189237,-0.84174463
ACH-001433,-0.375998149,-0.779340891,-0.730351086,-0.723127994,-0.866184244,-0.818840859,-0.764047466,-0.778462878,-0.892527056,-0.308902546,-0.569176968,-0.547531629,-0.02087898,-0.715838928,-0.666214334,-0.967614463,0.613171798,-0.580472405,-0.950339554,-0.812873812,-0.882742397,-0.706638552,-0.651522421,-0.729806196,-0.973070553,-0.672622917,-0.736141178,-0.494995065
ACH-001450,-1.138420649,-0.910510295,-0.607963032,-0.477024275,-0.705714181,-1.367311066,-1.297189252,-0.615134549,-0.802809903,-0.708857161,-0.677995943,-1.048249202,-1.075834262,-0.757913421,-0.788624757,-1.460733885,-0.612669352,-1.316737201,-0.918232116,-0.731174546,-1.034105083,-0.471538864,-1.071605422,-0.985669423,-0.609979656,-0.643296512,-0.874065723,-0.743641867
ACH-001454,-0.729345107,-0.56984798,-0.391188424,-0.822025575,-0.847775077,-0.816564657,-0.897707764,-1.319855846,-0.958403704,-0.732341265,-0.516228977,-0.79786934,-1.36927773,-0.749759395,-0.958912133,-1.471671391,-0.86931968,-0.998669747,-1.061148791,-0.702708315,-0.62208106,-0.74586662,-0.734540884,-0.724644427,-1.415934525,-0.835360709,-0.770331781,-1.278401911
ACH-001458,-0.727575721,-0.912775019,-0.842415419,-0.819124394,-0.808908152,-0.916947389,-1.349448516,-1.409514347,-0.896402682,-1.023457376,-0.758774609,-0.961765934,-0.333344313,-0.799182316,-0.524759595,-1.231084414,-1.312384434,-0.696314978,-1.124770609,-1.18356653,-0.717586589,-0.868593587,-1.358367826,-0.406929726,-1.269535765,-0.841680061,-1.092414603,-0.548830871
ACH-001496,-0.983538018,-0.95922653,-0.571916614,-0.598541043,-0.629235291,-0.46677534,-0.435519012,-1.486792927,-0.785753966,-1.058550213,-0.595343584,-0.845853385,-0.560050675,-0.590219829,-0.758874766,-0.993417407,-0.497380587,-0.731100053,-0.912673421,-0.885428904,-1.035377927,-0.718728028,-0.587714232,-0.487738182,-1.392336689,-0.838153956,-0.37838362,-1.036325396
ACH-001500,-0.991433893,-0.666893405,-0.765871005,-0.355511894,-0.472477255,-0.720901232,-1.297118227,-0.61176344,-0.730586868,-0.6916125,-0.917312601,-0.54639883,-0.657256755,-0.83504504,-0.812320438,-0.525827277,-0.144961053,-0.796913519,-0.67990909,-0.852728238,-0.872558174,-0.825351645,-0.515794395,-0.596852222,-0.611185752,-0.516143252,-0.626511676,-0.769121714
ACH-001521,-1.256313409,-0.896058803,-1.091293726,-1.252055669,-0.95321741,-0.748347434,-0.378332542,-0.668705828,-0.753044377,-0.536425423,-0.673728874,-1.383554569,-1.203844374,-0.710454517,-0.576514858,-1.531846071,-1.144177677,-0.809243713,-1.416663659,-0.473578235,-0.900629901,-0.754936502,-0.702426032,-1.222585455,-0.687572113,-0.955651782,-0.672516919,-0.641740908
ACH-001522,-0.35051387,-1.094548552,-0.47598743,-0.702553712,-0.496892556,-0.500610667,-0.235047764,-1.015030471,-0.774292358,-0.716344068,-1.071784929,-0.477853631,-0.761386259,-0.905607345,-0.82680455,-1.14685974,-0.635924075,-0.980532527,-1.03280239,-0.65868989,-0.61463973,-0.777645695,-0.827014464,-0.725272432,-0.208983301,-0.813840828,-0.540529467,-0.524756233
ACH-001523,-1.196313389,-0.742952662,-0.891100702,-0.901575976,-0.911003185,-0.765571991,-0.437944409,-0.667268827,-0.677015006,-0.730303756,-0.738292574,-0.68451152,-0.42311898,-0.723981071,-0.965555165,-0.718115879,-0.940367252,-0.757607568,-0.903731783,-0.591020133,-0.786014373,-0.44034524,-0.856766303,-0.683390928,-1.310602233,-0.750832561,-0.639886336,-0.541882059
